bathnum,feetsqrhouse,price,roomnum
1,"1,234","$409,900",2
2,"2,300","$400,000",5
1.5,"1,399","$500,000",3
4.5,"3,644","$16,500,000",4
1.5,907,"$429,900",3
3,"3,729","$824,999",9
1,375,"$455,000",1
2,"2,082","$679,000",3
1,585,"$499,900",2
1,945,"$499,999",2
2,"1,046","$730,000",1
2,"1,790","$670,000",3
1,975,"$379,999",1
1.5,"1,306","$1,825,000",2
1,"1,114","$799,000",1
1,876,"$418,846",1
1,735,"$699,000",1
1,895,"$589,000",1
1,620,"$390,000",2
1,667,"$549,000",1
1,617,"$575,000",2
2.5,"1,504","$1,649,000",2
1,853,"$529,000",2
3,"3,114","$799,000",6
1,"1,160","$459,000",3
2,884,"$689,000",2
2,"1,772","$3,000,000",2
1,673,"$709,000",2
2,"1,032","$1,290,000",2
1,685,"$419,000",2
2.5,"2,705","$1,499,900",2
2.5,"1,402","$1,390,000",2
3.5,"3,000","$1,895,000",5
2,"1,040","$1,169,000",2
1,615,"$489,000",1
2.5,"1,972","$1,567,740",2
2.5,"1,445","$1,322,175",2
2.5,"1,738","$3,500,000",2
6.5,"4,500","$2,400,000",7
3.5,"2,766","$5,900,000",4
1,747,"$700,000",1
2,"1,619","$1,169,000",3
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
1,"1,050","$429,000",2
3,"1,822","$530,000",4
1,820,"$499,000",1
2.5,"1,493","$549,000",3
1,715,"$465,000",1
2.5,"3,779","$599,900",6
2,"1,360","$549,900",3
2.5,"1,387","$729,900",2
1,319,"$460,000",
1,"1,130","$509,000",2
1,647,"$689,000",1
3,"3,382","$599,000",8
3.5,"2,483","$1,049,000",3
1,993,"$670,000",1
3,"3,332","$775,000",6
1,557,"$549,000",1
3,"2,034","$1,099,000",5
3,"3,100","$720,000",6
1.5+,"1,190","$699,000",2
2,"1,531","$699,000",3
1,875,"$439,000",1
1,782,"$649,000",1
2.5,"1,699","$739,000",3
1,526,"$599,000",
1,"1,016","$628,000",3
1,823,"$599,000",1
1,688,"$825,000",1
3,"1,975","$2,099,000",3
4.5,"3,024","$1,249,000",6
1,710,"$1,275,000",1
2.5,"2,042","$4,799,700",3
3,"1,699","$2,100,000",3
2.5,"2,116","$899,000",3
1.5,843,"$724,980",1
0.5+,"4,524","$2,200,000",
2.5,"1,309","$1,197,735",2
2.5,"1,656","$1,995,000",2
2,"1,128","$799,900",2
2,"1,175","$819,900",2
6,"7,689","$4,100,000",8
6,"4,579","$2,495,000",11
1,506,"$819,700",
6,"4,383","$1,759,000",13
2,"1,203","$739,000",3
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
3,"1,822","$530,000",4
1,820,"$499,000",1
2,"1,155","$299,999",2
2,"1,600","$529,000",3
1,888,"$482,000",2
1.5,"1,151","$619,000",2
2,"1,295","$529,900",2
2.5,"2,328","$799,000",2
2,"1,495","$699,000",4
2,949,"$529,000",2
1,872,"$349,900",2
1,431,"$475,000",1
2,"1,237","$709,000",3
2,"1,600","$649,000",3
1,516,"$499,000",1
1,741,"$534,900",1
2.5,"2,705","$1,499,900",2
3.5,"2,106","$639,900",4
2.5,"2,392","$699,900",4
